
 CASO : 0 -> ['X1', 'X1', 'X1', 'X1', 'X1', 'X1']


 CASO : 1 -> ['X1', 'X1', 'X1', 'X1', 'X1', 'X2']


 CASO : 2 -> ['X1', 'X1', 'X1', 'X1', 'X1', 'X4']


 CASO : 3 -> ['X1', 'X1', 'X1', 'X1', 'X2', 'X1']


 CASO : 4 -> ['X1', 'X1', 'X1', 'X1', 'X2', 'X2']


 CASO : 5 -> ['X1', 'X1', 'X1', 'X1', 'X2', 'X4']


 CASO : 6 -> ['X1', 'X1', 'X1', 'X1', 'X4', 'X1']


 CASO : 7 -> ['X1', 'X1', 'X1', 'X1', 'X4', 'X2']


 CASO : 8 -> ['X1', 'X1', 'X1', 'X1', 'X4', 'X4']


 CASO : 9 -> ['X1', 'X1', 'X1', 'X2', 'X1', 'X1']


 CASO : 10 -> ['X1', 'X1', 'X1', 'X2', 'X1', 'X2']


 CASO : 11 -> ['X1', 'X1', 'X1', 'X2', 'X1', 'X4']


 CASO : 12 -> ['X1', 'X1', 'X1', 'X2', 'X2', 'X1']


 CASO : 13 -> ['X1', 'X1', 'X1', 'X2', 'X2', 'X2']


 CASO : 14 -> ['X1', 'X1', 'X1', 'X2', 'X2', 'X4']


 CASO : 15 -> ['X1', 'X1', 'X1', 'X2', 'X4', 'X1']


 CASO : 16 -> ['X1', 'X1', 'X1', 'X2', 'X4', 'X2']


 CASO : 17 -> ['X1', 'X1', 'X1', 'X2', 'X4', 'X4']


 CASO : 18 -> ['X1', 'X1', 'X1', 'X4', 'X1', 'X1']


 CASO : 19 -> ['X1', 'X1', 'X1', 'X4', 'X1', 'X2']


 CASO : 20 -> ['X1', 'X1', 'X1', 'X4', 'X1', 'X4']


 CASO : 21 -> ['X1', 'X1', 'X1', 'X4', 'X2', 'X1']


 CASO : 22 -> ['X1', 'X1', 'X1', 'X4', 'X2', 'X2']


 CASO : 23 -> ['X1', 'X1', 'X1', 'X4', 'X2', 'X4']


 CASO : 24 -> ['X1', 'X1', 'X1', 'X4', 'X4', 'X1']


 CASO : 25 -> ['X1', 'X1', 'X1', 'X4', 'X4', 'X2']


 CASO : 26 -> ['X1', 'X1', 'X1', 'X4', 'X4', 'X4']


 CASO : 27 -> ['X1', 'X1', 'X2', 'X1', 'X1', 'X1']


 CASO : 28 -> ['X1', 'X1', 'X2', 'X1', 'X1', 'X2']


 CASO : 29 -> ['X1', 'X1', 'X2', 'X1', 'X1', 'X4']


 CASO : 30 -> ['X1', 'X1', 'X2', 'X1', 'X2', 'X1']


 CASO : 31 -> ['X1', 'X1', 'X2', 'X1', 'X2', 'X2']


 CASO : 32 -> ['X1', 'X1', 'X2', 'X1', 'X2', 'X4']


 CASO : 33 -> ['X1', 'X1', 'X2', 'X1', 'X4', 'X1']


 CASO : 34 -> ['X1', 'X1', 'X2', 'X1', 'X4', 'X2']


 CASO : 35 -> ['X1', 'X1', 'X2', 'X1', 'X4', 'X4']


 CASO : 36 -> ['X1', 'X1', 'X2', 'X2', 'X1', 'X1']


