design,arrival_1,cells_p1,size_gates
5,0.04432,4-6-7,X1-X1-X1-X1-X2-X4
14,0.04445,4-5-9,X1-X1-X1-X2-X2-X4
248,0.0454,4-5-7,X2-X1-X1-X1-X2-X4
86,0.04544,4-6-7,X1-X2-X1-X1-X2-X4
95,0.04559,4-5-9,X1-X2-X1-X2-X2-X4
260,0.04564,4-6-7,X2-X1-X1-X2-X4-X4
17,0.04564,4-6-7,X1-X1-X1-X2-X4-X4
23,0.04643,4-5-9,X1-X1-X1-X4-X2-X4
341,0.04647,4-6-7,X2-X2-X1-X2-X4-X4
98,0.04647,4-6-7,X1-X2-X1-X2-X4-X4
26,0.04648,4-6-7,X1-X1-X1-X4-X4-X4
329,0.04652,4-5-7,X2-X2-X1-X1-X2-X4
8,0.04655,4-6-7,X1-X1-X1-X1-X4-X4
251,0.04655,4-6-7,X2-X1-X1-X1-X4-X4
494,0.04655,4-6-7,X4-X1-X1-X1-X4-X4
2,0.04667,4-5-9,X1-X1-X1-X1-X1-X4
4,0.04672,4-6-7,X1-X1-X1-X1-X2-X2
1,0.04672,4-5-9,X1-X1-X1-X1-X1-X2
257,0.04674,4-5-7,X2-X1-X1-X2-X2-X4
41,0.04674,4-5-9,X1-X1-X2-X2-X2-X4
